Timestamp (JD), Filter, VariableStar : Magnitude (Centroid), Ref1 : Magnitude (Centroid), Ref2 : Magnitude (Centroid), Chk1 : Magnitude (Centroid), Chk2 : Magnitude (Centroid), Chk3 : Magnitude (Centroid)
2456981.7282291665, Luminance, 11.491, 12.126, 14.268, 14.179, 13.259, 12.922
2456981.7296527778, Luminance, 11.477, 12.123, 14.287, 14.177, 13.252, 12.940
2456981.7310763891, Luminance, 11.452, 12.123, 14.289, 14.196, 13.253, 12.938
2456981.7324884259, Luminance, 11.419, 12.127, 14.256, 14.271, 13.261, 12.911
2456981.7339120372, Luminance, 11.364, 12.123, 14.286, 14.197, 13.267, 12.925
2456981.7353356481, Luminance, 11.279, 12.127, 14.257, 14.264, 13.222, 12.900
2456981.7367592594, Luminance, 11.161, 12.123, 14.286, 14.195, 13.277, 12.912
2456981.7381828702, Luminance, 10.988, 12.116, 14.339, 14.161, 13.254, 12.912
2456981.7396064815, Luminance, 10.891, 12.122, 14.297, 14.257, 13.254, 12.894
2456981.7410185183, Luminance, 10.850, 12.120, 14.314, 14.168, 13.246, 12.902
2456981.7424421296, Luminance, 10.866, 12.121, 14.299, 14.201, 13.233, 12.935
2456981.7438657410, Luminance, 10.897, 12.119, 14.317, 14.153, 13.224, 12.949
2456981.7452893518, Luminance, 10.922, 12.118, 14.328, 14.216, 13.262, 12.944
2456981.7467013891, Luminance, 10.960, 12.120, 14.313, 14.084, 13.263, 12.928
2456981.7481249999, Luminance, 10.977, 12.114, 14.356, 14.150, 13.278, 12.874
2456981.7495486112, Luminance, 11.009, 12.109, 14.396, 13.994, 13.262, 12.888
2456981.7509606481, Luminance, 11.077, 12.120, 14.307, 14.257, 13.254, 12.911
2456981.7523842594, Luminance, 11.114, 12.132, 14.225, 14.152, 13.276, 12.889
2456981.7538078702, Luminance, 11.171, 12.126, 14.264, 14.175, 13.238, 12.912
2456981.7552314815, Luminance, 11.184, 12.115, 14.345, 14.127, 13.310, 12.879
